epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1369.75,0.66202,0.53972,0.86108,0.50829,0.503,0.5281,0.38041,1.22787,2.20087,0.98637,3.41598e-05,3.41598e-05,3.41598e-05
83,1384.36,0.63567,0.51182,0.85298,0.52138,0.5127,0.52489,0.38083,1.22969,2.03684,0.98776,3.16503e-05,3.16503e-05,3.16503e-05
84,1398.95,0.64678,0.53023,0.85713,0.5054,0.50823,0.52374,0.37054,1.31255,2.23822,1.00965,2.9262e-05,2.9262e-05,2.9262e-05
85,1413.59,0.62746,0.50981,0.8532,0.50146,0.50641,0.52266,0.38124,1.24382,2.13219,0.99275,2.69974e-05,2.69974e-05,2.69974e-05
86,1428.14,0.63058,0.50755,0.85426,0.49471,0.50632,0.51964,0.37656,1.2352,2.08875,0.98726,2.48586e-05,2.48586e-05,2.48586e-05
87,1442.67,0.634,0.52155,0.85401,0.51849,0.4994,0.51995,0.3713,1.2653,2.18702,0.9975,2.28477e-05,2.28477e-05,2.28477e-05
88,1457.12,0.63338,0.51788,0.85252,0.51753,0.48793,0.51718,0.37911,1.22139,2.16923,0.98478,2.09667e-05,2.09667e-05,2.09667e-05
89,1471.79,0.62638,0.51049,0.85182,0.52886,0.49794,0.52083,0.38007,1.21789,2.18039,0.98177,1.92175e-05,1.92175e-05,1.92175e-05
90,1486.63,0.6297,0.51303,0.853,0.50611,0.502,0.52128,0.38026,1.22707,2.23524,0.98695,1.76018e-05,1.76018e-05,1.76018e-05
91,1503.81,0.48102,0.34858,0.80556,0.52017,0.49778,0.51847,0.36593,1.33468,2.37589,1.02022,1.61213e-05,1.61213e-05,1.61213e-05
92,1518.4,0.46264,0.33655,0.8016,0.52587,0.50562,0.51855,0.36485,1.34954,2.26589,1.02576,1.47773e-05,1.47773e-05,1.47773e-05
93,1532.81,0.45964,0.32953,0.80239,0.52987,0.50283,0.51727,0.36617,1.30287,2.2366,1.01196,1.35712e-05,1.35712e-05,1.35712e-05
94,1547.11,0.45629,0.33086,0.80227,0.54057,0.50297,0.51974,0.37415,1.26407,2.21239,1.00005,1.25041e-05,1.25041e-05,1.25041e-05
95,1561.46,0.45545,0.32095,0.80117,0.5293,0.50575,0.52179,0.37907,1.24953,2.22943,0.99704,1.15772e-05,1.15772e-05,1.15772e-05
96,1575.72,0.45047,0.31358,0.80155,0.52921,0.50357,0.52029,0.37725,1.24759,2.23058,0.99502,1.07913e-05,1.07913e-05,1.07913e-05
97,1590.08,0.43844,0.31471,0.79975,0.52909,0.50332,0.51769,0.3804,1.22249,2.20481,0.98999,1.01473e-05,1.01473e-05,1.01473e-05
98,1604.47,0.43856,0.3095,0.79957,0.52227,0.50609,0.52008,0.37968,1.2266,2.20757,0.99069,9.64573e-06,9.64573e-06,9.64573e-06
99,1618.84,0.4338,0.3069,0.79688,0.52961,0.50929,0.52055,0.3837,1.20922,2.16316,0.98572,9.28711e-06,9.28711e-06,9.28711e-06
100,1633.26,0.43216,0.30717,0.79618,0.53316,0.49593,0.51845,0.37808,1.22838,2.19452,0.98997,9.0718e-06,9.0718e-06,9.0718e-06
