epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2542.34,0.72763,0.59654,0.87675,0.58435,0.5162,0.5636,0.38472,1.40815,2.16621,1.02822,9.25491e-05,9.25491e-05,9.25491e-05
66,2578.72,0.72521,0.58954,0.87364,0.52395,0.49159,0.52482,0.38101,1.26658,2.27982,0.98664,8.84444e-05,8.84444e-05,8.84444e-05
67,2615.22,0.71947,0.5903,0.8723,0.59569,0.53464,0.56064,0.39518,1.29327,1.85569,0.99821,8.44048e-05,8.44048e-05,8.44048e-05
68,2651.62,0.71571,0.59185,0.87244,0.56228,0.56721,0.56505,0.39629,1.26906,1.76133,0.99097,8.04345e-05,8.04345e-05,8.04345e-05
69,2688.21,0.71662,0.58599,0.87387,0.54101,0.53532,0.54942,0.38367,1.31647,1.78599,1.00266,7.65372e-05,7.65372e-05,7.65372e-05
70,2724.69,0.70218,0.57449,0.86811,0.57857,0.51162,0.54089,0.38487,1.26753,1.92399,0.98565,7.27169e-05,7.27169e-05,7.27169e-05
71,2761.2,0.70462,0.5726,0.86853,0.52495,0.51798,0.53422,0.37849,1.27848,1.98914,0.98873,6.89772e-05,6.89772e-05,6.89772e-05
72,2797.64,0.70554,0.56971,0.8697,0.58201,0.5067,0.54492,0.3949,1.24682,1.94603,0.98547,6.5322e-05,6.5322e-05,6.5322e-05
73,2834.12,0.69182,0.55276,0.86405,0.58698,0.53392,0.55375,0.40198,1.23481,1.9379,0.97987,6.17548e-05,6.17548e-05,6.17548e-05
74,2870.63,0.68448,0.54979,0.86503,0.53529,0.50998,0.53954,0.38538,1.2928,2.06169,0.99943,5.82791e-05,5.82791e-05,5.82791e-05
75,2907.19,0.66986,0.53803,0.86046,0.58987,0.53304,0.56047,0.39951,1.26116,1.80741,0.98807,5.48984e-05,5.48984e-05,5.48984e-05
76,2943.59,0.67714,0.54162,0.86203,0.57914,0.52227,0.55243,0.39461,1.27717,1.96491,0.99235,5.1616e-05,5.1616e-05,5.1616e-05
77,2980.17,0.66701,0.53464,0.86151,0.5707,0.54006,0.55325,0.4076,1.19366,1.88193,0.97046,4.84351e-05,4.84351e-05,4.84351e-05
78,3016.54,0.66273,0.53986,0.86116,0.6555,0.5335,0.56235,0.40007,1.25552,1.81343,0.98768,4.53588e-05,4.53588e-05,4.53588e-05
79,3053.11,0.66102,0.54067,0.85896,0.64793,0.49914,0.5375,0.39262,1.21913,2.07188,0.97235,4.23903e-05,4.23903e-05,4.23903e-05
80,3089.58,0.66863,0.54233,0.85977,0.54928,0.54404,0.54732,0.39212,1.24625,1.91202,0.98424,3.95324e-05,3.95324e-05,3.95324e-05
81,3126.09,0.64812,0.52562,0.85665,0.54133,0.51671,0.53626,0.39042,1.27231,2.05216,0.99016,3.6788e-05,3.6788e-05,3.6788e-05
